category,query,ground_truth,top_5_documents,document_similarities,best_match_document,best_match_similarity,accuracy,recall
Art and Music,من هو لودفيج فان بيتهوفن، وما هي بعض أعماله الشهيرة؟,لودفيج فان بيتهوفن هو مؤلف موسيقي ألماني ولد عام 1770 في مدينة بون. يعتبر من أبرز عباقرة الموسيقى في جميع العصور، وأبدع أعمالاً موسيقية خالدة. من أشهر أعماله السمفونية الخامسة والسادسة والتاسعة. بدأ يفقد سمعه في الثلاثينيات من عمره، لكن ذلك لم يؤثر على إنتاجه الفني الذي ازداد إبداعاً.,"['أحب teasingك بشأن لودفيغ فان بيتهوفن، ومستBusy responder PourrieZi', '', '', '', '']","[0.692608974195007, 0.0, 0.0, 0.0, 0.0]",أحب teasingك بشأن لودفيغ فان بيتهوفن، ومستBusy responder PourrieZi,0.692608974195007,0.2,1
Art and Music,ما هي آلة الناي، وكيف يتم العزف عليها؟,الناي هي آلة نفخية تعد من أقدم الآلات الموسيقية في التاريخ. تعزف بواسطة وضع الفم على أحد طرفيها مع إمالتها قليلاً لإصدار الصوت. تحتوي على ستة أو سبعة ثقوب يتم فتحها وإغلاقها لإنتاج النغمات المختلفة. تعتبر آلة الناي من الآلات الأساسية في التخت الشرقي التقليدي.,"['آلة الناي تعتبر عدة إصدارات من الآلات السنوية، وهي نهر الرياح المستمر الذي يحيط بلبنán. يتم تعقيده بأغنية على ضفاف نهر الأردن.', '', '', '', '']","[0.750667468877321, 0.0, 0.0, 0.0, 0.0]",آلة الناي تعتبر عدة إصدارات من الآلات السنوية، وهي نهر الرياح المستمر الذي يحيط بلبنán. يتم تعقيده بأغنية على ضفاف نهر الأردن.,0.750667468877321,0.2,1
Art and Music,ما هي آلة العود، وما هو تاريخها؟,العود هي آلة موسيقية شرقية وترية يعود تاريخها إلى القدم، ويُعتقد أن أصولها تعود إلى النبي نوح. للعود خمسة أوتار ثنائية، ويمكن إضافة وتر سادس. يعتبر العود آلة رئيسية في التخت الموسيقي الشرقي، وتشتهر بغداد بصناعة الأعواد عالية الجودة.,"['حسناً أعد تفصلا أكثر حول الآلة العدالة: هي آلة تقنية تتميز بتجربة كثيرة، وتوفر خيارات إدارة الخطابة في العديد من الأنماط. تعتبر alguna آلة مساعدة للقضية المفتوحة عن طريق تحليل الحملات والتعديل بها لجودها.', 'هولاء هو اسم عدة آلات تتضمن تحليل وتحسين السيمفونيته، منها:', '', '', '']","[0.696321394530796, 0.6654968717946771, 0.0, 0.0, 0.0]",حسناً أعد تفصلا أكثر حول الآلة العدالة: هي آلة تقنية تتميز بتجربة كثيرة، وتوفر خيارات إدارة الخطابة في العديد من الأنماط. تعتبر alguna آلة مساعدة للقضية المفتوحة عن طريق تحليل الحملات والتعديل بها لجودها.,0.696321394530796,0.4,1
Art and Music,من هو الخطاط فريد العلي، وما هي إسهاماته في الخط العربي؟,"فريد العلي هو خطاط كويتي معروف بعمله في الخط العربي. قام بعرض 30 لوحة تحتوي على 108 تصاميم لكلمة ""محمد"" في معرض بعنوان ""خير الأنام"". كما قدم ورش عمل لطلبة الجامعة لتحسين الخط العربي وتصميم التواقيع الفنية.","['هذا لا يزalingة من حياتك السابقة حيث حصلت على تعليم وتربية عريقة، أو أن تكون حافزة مثل الراء والكوسة المقدسة التي تدفعنا إلى الطحير. فربا هي صياغة ثانية للمقادرة الحميزية الفنية للأساطيل والأولاد من الجسم humanoïde، فلم يكن هاملة مثلها في إنجازات أجدائنا.', '', '', '', '']","[0.7610744888414841, 0.0, 0.0, 0.0, 0.0]",هذا لا يزalingة من حياتك السابقة حيث حصلت على تعليم وتربية عريقة، أو أن تكون حافزة مثل الراء والكوسة المقدسة التي تدفعنا إلى الطحير. فربا هي صياغة ثانية للمقادرة الحميزية الفنية للأساطيل والأولاد من الجسم humanoïde، فلم يكن هاملة مثلها في إنجازات أجدائنا.,0.7610744888414841,0.2,1
Art and Music,ما هي أبرز أعمال المصمم اللبناني بسيل سودة؟,"بسيل سودة هو مصمم أزياء لبناني قدم عروضاً ناجحة في بيروت وروما. من أشهر أعماله مجموعة ""أزياء مشعة"" التي قدمها في روما، مستوحاة من فترة السبعينيات. يدعو سودة إلى تأسيس أسبوع عربي للموضة بمواصفات عالمية.","['إليك تفاصيل عظيمة حول سيد سلويون سودة وهي مصممة في عام 1980 للعديد من المؤلفات التي أنشأها لابنته إسماعيل، وهي كذلك مصممة لمؤساسات البنتين على مستوى العالم ، وعلى المستوى الاجتماعي والاجتماعي والسياسي . هذه المؤسسات تشمل تأسيس جمعية توجيه البنات المسرحية في جزر الجورجيا التي تعرض لهذه المؤلفة لتأثيرها الهادئ وطموخها للصعدة في المجتمع الإقليمي وخاصة في عيد نهاية عام 1985 .', '', '', '', '']","[0.7310923851837161, 0.0, 0.0, 0.0, 0.0]",إليك تفاصيل عظيمة حول سيد سلويون سودة وهي مصممة في عام 1980 للعديد من المؤلفات التي أنشأها لابنته إسماعيل، وهي كذلك مصممة لمؤساسات البنتين على مستوى العالم ، وعلى المستوى الاجتماعي والاجتماعي والسياسي . هذه المؤسسات تشمل تأسيس جمعية توجيه البنات المسرحية في جزر الجورجيا التي تعرض لهذه المؤلفة لتأثيرها الهادئ وطموخها للصعدة في المجتمع الإقليمي وخاصة في عيد نهاية عام 1985 .,0.7310923851837161,0.2,1
Art and Music,ما هي مسابقة الرسم التي نظمها معهد ثربانتس في عمان؟,"نظم معهد ثربانتس في عمان مسابقة رسم للأطفال بعنوان ""عام الكيخوتي""، حيث شارك أطفال تتراوح أعمارهم بين 4 و12 سنة. قدم المشاركون رسومات باستخدام أدوات مختلفة، وتم عرض الرسومات الفائزة في صالة معارض المعهد.","['إليك تفاصيل حول هذه المسابقة التي نظمتتها مدينه ثربانترس (ملك هلالة) وتعتبر إحدى القيم المتمثلة في جوجام كونسول رايحته. تتميز هذه المسابقة بإطلاع المجتمعين على الإقناع الحفazel والتخطيط للمشروعات اللازمة لتحقيق الحواشيع والتنوفية والقيود الأمنية.', 'كما يمكنك زيارة website of the Royal Oman Airports Authority التي نظمت مسابقة كونسول الريحته.', '', '', '']","[0.609690819921843, 0.611521270505466, 0.0, 0.0, 0.0]",كما يمكنك زيارة website of the Royal Oman Airports Authority التي نظمت مسابقة كونسول الريحته.,0.611521270505466,0.4,1
Art and Music,من هو نجيب محفوظ، وما هي إنجازاته الأدبية؟,"نجيب محفوظ هو روائي مصري حائز على جائزة نوبل في الآداب عام 1988. كتب أكثر من 50 مؤلفاً، بما في ذلك الروايات التاريخية والاجتماعية. من أشهر أعماله رواية ""أولاد حارتنا"" التي منعت من الطبع في مصر لفترة طويلة.","['جذب جيش النجوم إلى طائره وتنفض من قوات الملياطة ليدخل أرض الإسكندرية التي سابحت في أيوريا . كانت الأراضي المحيطة برياحها باردة وتسارعون بحريرات الصواعق، وبينما كانت إجازته صيفية تفتقد الطائره ، فتشتبط بالفرق السحالية القادمة في طائر الإسكندرية .', 'ومن هولاكا في الأزور اللاذقية.', '', '', '']","[0.597340128983185, 0.759950679153916, 0.0, 0.0, 0.0]",ومن هولاكا في الأزور اللاذقية.,0.759950679153916,0.2,1
Art and Music,من هي فيروز، وما هو دورها في تطوير الموسيقى العربية؟,فيروز هي مطربة لبنانية اشتهرت بأغانيها التي قدمتها بالتعاون مع الأخوين رحباني. أحدثت ثورة في الموسيقى العربية بأغانيها القصيرة ذات المعاني العميقة. غنت فيروز عن الحب والوطن والأم، وأصبحت واحدة من أشهر الفنانين العرب.,"['مدينة أينشا تعتبر العاصمة للبروتون في إسرائيل.', '', '', '', '']","[0.6946895001506681, 0.0, 0.0, 0.0, 0.0]",مدينة أينشا تعتبر العاصمة للبروتون في إسرائيل.,0.6946895001506681,0.2,1
Art and Music,من هو لوتشانو بافاروتي، وما هي إنجازاته في عالم الأوبرا؟,"لوتشانو بافاروتي هو مغني تينور إيطالي اشتهر بأدائه القوي في الأوبرا. من أشهر أدواره أداء أغنية ""Nessun Dorma"" من أوبرا Turandot. يعتبر بافاروتي أحد أعظم مطربي التينور في القرن العشرين.","['لاutas كالانتروس بايكيرا.', '', '', '', '']","[0.671497860243636, 0.0, 0.0, 0.0, 0.0]",لاutas كالانتروس بايكيرا.,0.671497860243636,0.2,1
Art and Music,ما هي التحديات التي واجهها بيتهوفن في حياته الشخصية؟,واجه بيتهوفن العديد من التحديات الشخصية، بما في ذلك إدمان والده للكحول ووفاة والدته في سن مبكرة. كما بدأ يفقد سمعه في الثلاثينيات من عمره، لكن ذلك لم يمنعه من الاستمرار في الإبداع الموسيقي.,"['ينقض الوقت، وبعض من هذه التحديات هو الليزر الذي هو مبرز للمجعل.', '', '', '', '']","[0.7084950457431141, 0.0, 0.0, 0.0, 0.0]",ينقض الوقت، وبعض من هذه التحديات هو الليزر الذي هو مبرز للمجعل.,0.7084950457431141,0.2,1
